Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls per90,Ast per90,G+A per90,G-PK per90,G+A-PK per90,xG,npxG,xA,npxG+xA,xG per90,xA per90,xG+xA per90,npxG per90,npxG+xA per90,Passes Cmp,Att,Passes Cmp%,Passes TotDist,Passes PrgDist,KP per90,Final third per90,PPA per90,CrsPA per90,Prog per90,Live passes per90,Dead passes per90,FK passes per90,TB passes per90,under pressure passes per90,Sw passes per90,Crs passes per90,CK passes per90,Ground passes per90,Low passes per90,High passes per90,SCA Dead-balls per90,SCA Open-Play per90,Touches per90,Touches Def Pen per90,Touches Def 3rd per90,Touches Mid 3rd per90,Touches Att 3rd per90,Touches Att Pen per90,Live touches per90,Succ Dribbles per90,Att Dribbles per90,Succ Dribbles%,Players dribbled past per90,NutMegs per90,Carries per90,Carries TotDist per90,Carries PrgDist per90,Prog Carries per90,Carries to final-third per90,Carries to penalty area per90,Miss-Control per90,Dispossessed per90,Pass Targ per90,Passes Rec per90,Pass Rec%,Prog Rec-Passes per90,Tkl per90,TklW per90,Tkl Def 3rd per90,Tkl Mid 3rd per90,Tkl Att 3rd per90,Succ Tkl vs Dribbles per90,Att Tkl vs Dribbles per90,Tkl vs Dribbles%,Past per90,Press per90,Succ press per90,Succ Press %,Press Def 3rd per90,Press Mid 3rd per90,Press Att 3rd per90,Int per90,Tkl+Int per90,Clr per90,Err per90
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,34,32,2881,32,0,2,0,0,0,8,0,0,0.06,0.06,0,0.06,0.7,0.7,1.4,2.1,0.02,0.04,0.07,0.02,0.07,34,45,75.5,574.1,214.8,0.59,1.56,1.13,0.25,2.94,34.4,10.6,0.84,0.06,5.41,0.59,1.41,0,26.5,9.59,8.94,0.06,1.06,58,5.06,23.3,23.8,15,0.91,47.8,1.03,2.44,42.3,1.09,0.19,33.9,199.4,121.7,5.44,1.66,0.41,0.84,0.94,36,32.4,89.9,1.28,2.16,1.16,1.56,0.59,0,1.16,1.81,63.8,0.66,13.6,3.53,26,7.97,4.38,1.22,1.75,3.91,2.19,0
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,34,34,2983,33.1,2,0,2,0,0,5,1,0.06,0,0.06,0.06,0.06,1.2,1.2,0.8,2.1,0.04,0.02,0.06,0.04,0.06,38.7,47,82.4,835.8,287.9,0.24,2.45,0.18,0,2.72,44,3.02,2.45,0,5.68,1.66,0.06,0,35.3,3.78,7.95,0,0.63,57.3,8.28,32.8,25.7,2.9,0.85,54.5,0.48,0.66,72.7,0.48,0.03,35.7,204.7,115.5,2.75,0.73,0,0.45,0.39,37.5,36.3,96.9,0.36,1.87,1.39,1.24,0.6,0.03,0.39,0.82,48.1,0.42,13.6,4.89,35.9,7.61,5.14,0.88,3.11,4.98,3.2,0
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,31,29,2462,27.4,1,0,1,0,0,12,3,0.04,0,0.04,0.04,0.04,0.8,0.8,1.1,1.9,0.03,0.04,0.07,0.03,0.07,55.9,61,91.7,1033.3,184.4,0.55,2.81,0.47,0.04,2.96,60.3,0.73,0.58,0.04,8.03,0.8,0.36,0,52.6,4.71,3.72,0,1.31,70.4,2.01,22.7,41.8,10.9,0.62,69.9,0.99,1.53,64.3,1.09,0.07,53.5,246.5,106.3,2.85,0.73,0.15,0.84,1.46,58.6,54.2,92.5,1.72,2.01,1.24,0.91,0.91,0.18,0.69,2.15,32.2,1.46,23.4,6.53,27.9,7.19,12.3,3.94,1.86,3.87,0.55,0
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,34,34,2956,32.8,0,2,0,0,0,9,0,0,0.06,0.06,0,0.06,2,2,2.9,4.9,0.06,0.09,0.15,0.06,0.15,40.7,49.8,81.6,780.8,206,0.91,3.87,0.58,0.18,4.18,49,0.85,0.64,0.18,9.48,1.49,0.79,0.03,37.6,5.64,6.65,0.06,1.73,61.6,0.67,13.7,40.3,11.6,0.46,60.9,1.28,1.98,64.6,1.34,0.09,45.7,171.9,86.4,2.87,1.13,0.09,0.85,1.46,46.3,43,93,1.86,3.57,2.23,1.49,1.71,0.37,1.8,4.97,36.2,3.17,28,7.9,28.2,9.27,15.3,3.41,2.56,6.13,0.34,0
5,Charles Abi,fr FRA,FW,Saint-Йtienne,fr Ligue 1,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,33.3,48,0,0,0,0,0,0,12,0,0,0,6,0,2,0,10,0,2,0,0,24,0,0,10,18,6,24,0,0,,0,0,18,118,18,0,2,0,8,0,24,16,66.7,4,0,0,0,0,0,0,2,0,2,28,2,7.1,0,22,6,0,0,0,0
6,Dickson Abiama,ng NGA,FW,Greuther Fьrth,de Bundesliga,22,1998,24,5,726,8.1,0,1,0,0,0,3,0,0,0.12,0.12,0,0.12,2.2,2.2,1.1,3.3,0.27,0.14,0.41,0.27,0.41,11.1,17.2,64.7,160,40.7,0.99,0.86,0.74,0,1.6,16,1.11,0.12,0.12,5.19,0.25,0.25,0,10.7,3.95,2.47,0,2.22,33,1.11,3.46,15.6,15.6,3.83,31.9,0.74,2.22,33.3,0.86,0.12,19,74.7,40.2,2.59,0.99,0.86,5.06,1.36,41.4,21.1,51,5.93,1.73,0.86,0.37,0.86,0.49,0.25,1.36,18.2,1.11,23.5,4.81,20.5,2.59,10,10.9,0.99,2.72,0.86,0
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.4,0.3,0.03,0.32,0.3,0.32,7.27,9.09,80,90.9,20,0.91,0.91,0.91,0,0.91,9.09,0,0,0,3.64,0,0.91,0,8.18,0.91,0,0,0.91,22.7,1.82,1.82,10,10.9,2.73,22.7,0.91,1.82,50,0.91,0,16.4,61.8,31.8,2.73,0,0,1.82,4.55,35.5,11.8,33.3,7.27,0,0,0,0,0,0,0.91,0,0.91,23.6,3.64,15.4,3.64,12.7,7.27,0.91,0.91,0.91,0
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,37,36,3084,34.3,17,4,14,3,3,9,0,0.5,0.12,0.61,0.41,0.53,20.5,18.3,3.6,21.8,0.6,0.1,0.7,0.53,0.64,14.6,20.2,72,224.9,51.2,1.02,1.08,0.82,0.12,1.78,18.3,1.98,0.17,0.15,5.92,0.32,0.7,0,12.8,4.37,3.03,0.03,2.13,32.4,0.96,2.54,16.3,15.2,5.86,30.4,1.08,2.22,48.7,1.14,0.09,18,76.8,39.4,2.45,0.82,0.67,2.39,1.28,41.2,22.4,54.3,6.71,0.99,0.64,0.29,0.44,0.26,0.29,0.67,43.5,0.38,13.6,4.02,29.6,1.34,5.71,6.56,0.44,1.43,0.9,0
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,8,6,560,6.2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.5,0.08,0,0.08,0.08,0.08,31.3,35.5,88.2,696.8,186,0,1.29,0,0,1.45,34,1.45,0.81,0,1.61,1.13,0,0,28.2,2.42,4.84,0,0.48,46.8,10.2,30,18.2,1.13,0.81,45.5,0,0,,0,0,25.2,129.5,77.1,1.13,0,0,0.32,0,30.2,29.4,97.3,0.16,1.13,0.97,0.81,0.16,0.16,0.48,0.65,75,0.16,5.65,2.1,37.1,2.26,3.23,0.16,1.77,2.9,6.29,0.16
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,30,29,2536,28.2,4,0,4,0,0,2,1,0.14,0,0.14,0.14,0.14,2.2,2.2,0.4,2.6,0.08,0.02,0.09,0.08,0.09,64.3,71.1,90.3,1345.5,409.9,0.21,4.33,0.21,0,3.12,68.6,2.52,2.2,0.07,5.96,2.66,0.04,0,52.8,5.6,12.7,0.04,0.54,80.2,12.3,42,41.4,2.3,0.78,77.9,0.11,0.14,75,0.11,0,52.4,284.8,161.6,3.48,0.71,0,0.28,0.11,58.8,57.8,98.3,0.35,0.96,0.43,0.64,0.32,0,0.32,0.71,45,0.39,5.85,1.7,29.1,3.05,2.41,0.39,1.7,2.66,4.08,0.04
